created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-05-10T00:43:15+00:00,1,31.40,"68.00

",,,,
2024-05-10T00:43:36+00:00,2,31.30,"68.00

",,,,
2024-05-10T00:44:03+00:00,3,31.40,"67.00

",,,,
2024-05-10T00:44:24+00:00,4,31.50,"67.00

",,,,
2024-05-10T00:44:46+00:00,5,31.50,"66.00

",,,,
2024-05-10T00:45:07+00:00,6,31.50,"66.00

",,,,
2024-05-10T00:45:28+00:00,7,31.50,"66.00

",,,,
2024-05-10T00:45:49+00:00,8,31.50,"66.00

",,,,
2024-05-10T00:46:11+00:00,9,31.40,"67.00

",,,,
2024-05-10T00:46:32+00:00,10,31.50,"67.00

",,,,
2024-05-10T00:46:53+00:00,11,31.50,"66.00

",,,,
2024-05-10T00:47:14+00:00,12,31.50,"66.00

",,,,
2024-05-10T00:47:35+00:00,13,31.50,"66.00

",,,,
2024-05-10T00:47:57+00:00,14,31.50,"66.00

",,,,
2024-05-10T00:48:18+00:00,15,31.40,"66.00

",,,,
